serial_number;product_model;purchase_date;registration_date;country;source_note
R1222159;2100 7x50 - 4C;2013-07-16;;ČR;CZ legacy
R1301537;R1r 3-12x56 RD - 4C;2013-07-12;;ČR;CZ legacy
R1305121;2100 7x50 - 4C;2013-07-04;;ČR;CZ legacy
R1223143;R1 7x56 RD - 4C;2013-07-29;;ČR;CZ legacy
R1007153;R1 7x56 RD - 4C;2013-07-29;;ČR;CZ legacy
R1218895;R1r 3-12x56 RD - 4K;2013-07-31;;ČR;CZ legacy
R1220651;2100 7x50 - 4C;2013-07-18;;ČR;CZ legacy
R1222127;2100 7x50 - 4C;2013-07-30;;Slovensko;CZ legacy
R1308553;R1r 3-12x56 RGD - 4C;2013-08-01;;ČR;CZ legacy
R1200379;2000 7x50 - 1S;2013-08-09;;ČR;CZ legacy
R1308552;R1r 3-12x56 RGD - 4C;2013-07-15;;ČR;CZ legacy
R1302702;R1r 3-12x56 RD - 4C;2013-07-23;;ČR;CZ legacy
R1213317;R1 1,5-6x42 RD - 4C;2013-08-23;;ČR;CZ legacy
R1311224;R1r 3-12x56 RD - 4C;2013-08-26;;ČR;CZ legacy
R1223577;R1r 3-12x56 RD - 4C;2013-08-21;;Slovensko;CZ legacy
R1224099;R1r 3-12x56 RD - 4K;2013-08-13;;ČR;CZ legacy
R1302861;R1r 3-12x56 RD - 4C;2013-09-04;;ČR;CZ legacy
R1109343;3-12x56 - V-Dot;2013-08-30;;ČR;CZ legacy
R0811682;2000 3-12x50 - 1S;2013-08-30;;Slovensko;CZ legacy
R1311988;R1r 3-12x56 RD/MR - 4C;2013-09-16;;ČR;CZ legacy
R1313902;R1r 3-12x56 RD/MR - 4C;2013-09-16;;ČR;CZ legacy
R1300973;R1 7x56 RD - 4C;2013-09-11;;ČR;CZ legacy
R1208371;R1 7x56 RD - 4C;2013-09-02;;ČR;CZ legacy
R1311090;R1r 3-12x56 RD - 4C;2013-09-17;;ČR;CZ legacy
R1212727;6-24x56;2013-07-09;;Slovensko;CZ legacy
R1313029;R1r 3-12x56 RD - 4C;2013-09-10;;Slovensko;CZ legacy
R1206975;R1r 3-12x56 RD - 4K;2013-09-11;;ČR;CZ legacy
R1304629;R1r 3-12x56 RD - 4C;2013-09-02;;Slovensko;CZ legacy
R1305103;2100 7x50 - 4C;2013-09-06;;ČR;CZ legacy
R1305254;R1 1,5-6x42 RD - 4C;2013-09-18;;ČR;CZ legacy
R1310111;R1 7x56 RD - 4C;2013-09-19;;Slovensko;CZ legacy
R1217493;R1r 3-12x56 RD - 4C;2013-09-21;;Slovensko;CZ legacy
R1301091;R1 1,5-6x42 RD - 4C;2013-09-04;;ČR;CZ legacy
R1301011;R1 1,5-6x42 RD - 4C;2013-09-12;;ČR;CZ legacy
R1309425;R1r 3-12x56 RGD - 4C;2013-09-27;;ČR;CZ legacy
R1223151;R1 7x56 RD - 4C;2013-10-01;;ČR;CZ legacy
R1312217;2100 7x50 - 4C;2013-09-19;;ČR;CZ legacy
R1305990;R1r 3-12x56 RGD - 4C;2013-09-19;;ČR;CZ legacy
R1312968;R1r 3-12x56 RD - 4C;2013-09-14;;Slovensko;CZ legacy
R1300957;R1 7x56 RD - 4C;2013-09-04;;ČR;CZ legacy
R1307833;R1 1,5-6x42 RD - 4C;2013-09-25;;Slovensko;CZ legacy
R1300975;R1 7x56 RD - 4C;2013-09-30;;ČR;CZ legacy
R1309460;R1r 3-12x56 RGD - 4C;2013-09-19;;ČR;CZ legacy
R1308569;R1r 3-12x56 RGD - 4C;2013-09-09;;ČR;CZ legacy
R1315967;R1r 3-12x56 RD - 4C;2013-10-03;;ČR;CZ legacy
R1217852;R1r 3-12x56 RD - 4C;2012-11-15;;ČR;CZ legacy
R1312231;2100 7x50 - 4C;2013-10-29;;ČR;CZ legacy
R1315951;R1r 3-12x56 RD - 4C;2013-09-24;;Slovensko;CZ legacy
R1301059;R1 1,5-6x42 RD - 4C;2013-10-09;;Slovensko;CZ legacy
R1308123;R1r 3-12x56 RD - 4K;2013-10-10;;ČR;CZ legacy
R1316773;R1r 3-12x56 RD - 4C;2013-10-07;;ČR;CZ legacy
R1312178;2100 7x50 - 4C;2013-09-13;;ČR;CZ legacy
R1314271;2100 7x50 - 4C;2013-10-11;;ČR;CZ legacy
R1223153;R1 7x56 RD - 4C;2013-10-11;;ČR;CZ legacy
R1309464;R1r 3-12x56 RGD - 4C;2013-10-15;;ČR;CZ legacy
R1311436;6-24x56 RD - Mil Dot 2;2013-10-22;;ČR;CZ legacy
R1300967;R1 7x56 RD - 4C;2013-10-21;;ČR;CZ legacy
R1221978;R1 7x56 RD - 4C;2013-11-05;;ČR;CZ legacy
R1316290;R1r 3-12x56 RD - 4C;2013-10-14;;ČR;CZ legacy
R1224304;R1r 3-12x56 RGD - 4C;2013-10-25;;Slovensko;CZ legacy
;;;;Slovensko;CZ legacy
R1307899;R1 1,5-6x42 RD - 4C;2013-10-30;;ČR;CZ legacy
R1117154;2000 7x50 - 1S;2013-11-01;;ČR;CZ legacy
R1208191;R1 4-12x40 - ZII;2013-10-15;;ČR;CZ legacy
R1316398;R1r 3-12x56 RD - 4C;2013-10-15;;ČR;CZ legacy
R1317539;R1r 3-12x56 RD - 4C;2013-10-29;;ČR;CZ legacy
