serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1214537;MeoStar R1 1,5-6x42 RD;2013-03-16;2013-03-17;cz;MSO CZ;;;;;;;;;;;
R1217698;MeoStar R1 1-4x22 RD;2013-02-27;2013-03-17;cz;MSO CZ;;;;;;;;;;;
R1214046;ZD 6-24x56;2013-02-27;2013-03-17;cz;MSO CZ;;;;;;;;;;;
123395;MeoStar B1 10x50;2013-02-23;2013-03-17;cz;MSO CZ;;;;;;;;;;;
20011;MeoStar S1 75 Angled / Šikmý;2013-03-15;2013-03-17;cz;MSO CZ;;;;;;;;;;;
R1216674;MeoStar R1r 3-12x56 RD;2013-03-20;2013-03-21;cz;MSO CZ;;;;;;;;;;;
124914;MeoStar B1 10x50;2013-03-21;2013-03-22;pl;MSO CZ;;;;;;;;;;;
R0904871;Artemis 2000 1,5-6x42;2013-03-14;2013-03-23;cz;MSO CZ;;;;;;;;;;;
R0904871;Artemis 2000 1,5-6x42;2013-03-14;2013-03-23;cz;MSO CZ;;;;;;;;;;;
R0904871;Artemis 2000 1,5-6x42;2013-03-14;2013-03-23;cz;MSO CZ;;;;;;;;;;;
R0904871;Artemis 2000 1,5-6x42;2013-03-13;2013-03-24;cz;MSO CZ;;;;;;;;;;;
R1202129;Artemis 2100 7x50 RD;2013-03-12;2013-03-26;cz;MSO CZ;;;;;;;;;;;
125592;MeoStar B1 8x56;2013-03-25;2013-03-26;cz;MSO CZ;;;;;;;;;;;
R1201673;MeoStar R1 3-12x56 RD;2013-03-28;2013-03-29;cz;MSO CZ;;;;;;;;;;;
R1208576;MeoStar R1 1,5-6x42 RD;2013-03-30;2013-03-31;cz;MSO CZ;;;;;;;;;;;
R1221842;MeoStar R1r 3-12x56 RD;2013-03-27;2013-04-02;cz;MSO CZ;;;;;;;;;;;
R1213807;Artemis 2100 7x50 RD;2013-04-03;2013-04-03;cz;MSO CZ;;;;;;;;;;;
R1221165;MeoStar R1r 3-12x56 RD;2013-03-08;2013-04-03;cz;MSO CZ;;;;;;;;;;;
R1221834;MeoStar R1 3-12x56;2013-03-28;2013-04-04;cz;MSO CZ;;;;;;;;;;;
R1220239;MeoStar R1 7x56 RD;2013-04-05;2013-04-09;cz;MSO CZ;;;;;;;;;;;
R1208507;MeoStar R1 1,5-6x42 RD;2013-03-13;2013-04-10;cz;MSO CZ;;;;;;;;;;;
705777;MeoStar B1 8x56;2013-03-11;2013-04-10;cz;MSO CZ;;;;;;;;;;;
R1221159;MeoStar R1r 3-12x56;2013-04-09;2013-04-14;cz;MSO CZ;;;;;;;;;;;
R1220196;MeoStar R1 7x56 RD;2013-04-11;2013-04-15;cz;MSO CZ;;;;;;;;;;;
124662;MeoStar B1 8x56;2013-04-11;2013-04-15;cz;MSO CZ;;;;;;;;;;;
R1213294;MeoStar R1 1,5-6x42 RD;2013-04-03;2013-04-15;cz;MSO CZ;;;;;;;;;;;
R1209200;MeoStar R1 7x56 RD;2013-04-04;2013-04-15;cz;MSO CZ;;;;;;;;;;;
R1214376;ZD 6-24x56;2013-03-18;2013-04-17;cz;MSO CZ;;;;;;;;;;;
R1222688;MeoStar R1r 3-12x56 RD;2013-04-17;2013-04-17;cz;MSO CZ;;;;;;;;;;;
R1208679;MeoStar R1r 3-12x56 RD;2013-04-17;2013-04-17;cz;MSO CZ;;;;;;;;;;;
R1217886;MeoStar R1r 3-12x56 RD;2013-04-10;2013-04-19;cz;MSO CZ;;;;;;;;;;;
